Summary,Issue Type,Description,Priority,Status,Epic Link,Labels,Assignee,Component,Sprint,Parent,Story Points,Estimate (h)
"Productionize RLS & Security",Epic,"Perkuat kebijakan RLS produksi, proteksi service role, validasi request, rate limiting, indexing/caching.",High,To Do,,security;rls;backend,,,,-,
"Terapkan improved RLS policies (prod)",Task,"Terapkan improved-rls-policies.sql, verifikasi semua CRUD path, pastikan tidak ada bypass.",High,In Progress,"Productionize RLS & Security",rls;database,Backend-Dev-Specialist,Database,Sprint 1,,8,24
"Review semua RLS tabel prioritas",Sub-task,"Audit RLS pada tabel employees, workload, calendar_events.",High,In Review,,rls;database,Backend-Dev-Specialist,Database,Sprint 1,"Terapkan improved RLS policies (prod)",3,8
"Uji CRUD di bawah RLS",Sub-task,"Verifikasi create/read/update/delete dengan peran berbeda.",High,In Progress,,rls;qa,Backend-Dev-Specialist,Database,Sprint 1,"Terapkan improved RLS policies (prod)",3,8
"Perbaiki policy & tambah index",Sub-task,"Perbaiki policy yang gagal dan tambahkan index untuk kueri berat.",Medium,To Do,,rls;performance,Backend-Dev-Specialist,Database,Sprint 1,"Terapkan improved RLS policies (prod)",2,6
"Audit penggunaan Service Role; pastikan tidak terekspos",Task,"Audit kode & env, pastikan service role hanya dipakai di server-side, rotasi kunci.",High,To Do,"Productionize RLS & Security",security;ops,Backend-Dev-Specialist,Backend,, ,5,10
"Middleware validasi request + sanitasi input",Task,"Tambahkan validasi skema (zod/yup) dan sanitasi untuk semua endpoint penting.",High,To Do,"Productionize RLS & Security",backend;api;security,Backend-Dev-Specialist,Backend,, ,5,12
"Rate limiting untuk API publik",Task,"Tambah rate limit untuk endpoint publik agar tahan abuse (mis. 100 req/10m per IP).",Medium,To Do,"Productionize RLS & Security",api;security,Backend-Dev-Specialist,Backend,, ,3,8
"Review indexing & caching untuk query berat",Task,"Profiling query Calendar/Workload, tambah index yang perlu, pertimbangkan caching read-heavy.",Medium,To Do,"Productionize RLS & Security",database;performance,Backend-Dev-Specialist,Database,, ,3,8
"Monitoring, Backup & Reliability",Epic,"Siapkan APM/monitoring, backup otomatis, dan latihan rollback untuk kesiapan produksi.",High,To Do,,ops;reliability,,,,-,
"Setup APM, error tracking, uptime monitoring",Task,"Integrasi Sentry/LogRocket/APM, healthcheck, alerting dasar.",High,In Progress,"Monitoring, Backup & Reliability",ops;monitoring,Fullstack-Dev,Ops,Sprint 1,,5,16
"Integrasi Sentry backend",Sub-task,"Sentrikan API routes dan edge functions; tangkap error dan performance.",High,In Progress,,ops;monitoring,Backend-Dev-Specialist,Ops,Sprint 1,"Setup APM, error tracking, uptime monitoring",3,8
"Integrasi Sentry frontend",Sub-task,"Aktifkan SDK di Next.js; sourcemap, tracing navigasi.",Medium,In Progress,,ops;monitoring,Frontend-Dev,Frontend,Sprint 1,"Setup APM, error tracking, uptime monitoring",3,8
"Setup uptime monitor & alerts",Sub-task,"Health check endpoint + notifikasi Slack/Email.",Medium,To Do,,ops;monitoring,Fullstack-Dev,Ops,Sprint 1,"Setup APM, error tracking, uptime monitoring",2,6
"Jadwal backup otomatis + uji restore",Task,"Konfigurasi backup harian di Supabase/DB, uji pemulihan, dokumentasikan SOP.",High,To Do,"Monitoring, Backup & Reliability",backup;ops,,Database,, ,5,12
"Latihan rollback (drill) rilis produksi",Task,"Simulasikan rollback Vercel + restore DB, buat checklist rilis+rollback.",Medium,To Do,"Monitoring, Backup & Reliability",ops;release,,Ops,, ,3,8
"Accessibility & Performance",Epic,"Penuhi WCAG 2.1 AA, dan capai budget performa interaksi <300ms.",Medium,To Do,,frontend;ux;performance,,,,-,
"Audit aksesibilitas (WCAG 2.1 AA)",Task,"Jalankan audit (axe/lighthouse), perbaiki kontras, fokus, ARIA, keyboard nav.",Medium,To Do,"Accessibility & Performance",a11y;frontend,UI-UX-Designer,Frontend,Sprint 2,,5,12
